name,price,socket,form_factor,max_memory,memory_slots,color
Asus PRIME A620-PLUS WIFI,139.99,AM5,ATX,192,4,Silver / Black
MSI MEG X570 UNIFY,209.99,AM4,ATX,128,4,Black
MSI PRO B550-VC,139.94,AM4,ATX,128,4,Black
Asus TUF GAMING Z790-PLUS WIFI D4,199.99,LGA1700,ATX,128,4,Black
Gigabyte B760 GAMING X AX,164.99,LGA1700,ATX,192,4,Black / Gray
MSI B450 TOMAHAWK MAX,,AM4,ATX,128,4,Black
Asus TUF GAMING B650M-PLUS WIFI,199.99,AM5,Micro ATX,192,4,Black
Asus ROG STRIX Z790-H GAMING WIFI,259.95,LGA1700,ATX,192,4,Black
ASRock B550 Phantom Gaming 4/ac,99.99,AM4,ATX,128,4,Silver / Black
Gigabyte A520M DS3H V2,92.27,AM4,Micro ATX,128,4,Gray / Brown
Asus ROG STRIX B760-A GAMING WIFI,224.99,LGA1700,ATX,192,4,Silver / Black
Asus PRIME B650-PLUS,179.99,AM5,ATX,192,4,Black / Silver
NZXT N7 Z790,296.99,LGA1700,ATX,192,4,Black
Asus ROG STRIX X670E-F GAMING WIFI,359.99,AM5,ATX,192,4,Black / Silver
ASRock B450M-HDV R4.0,83.69,AM4,Micro ATX,32,2,Black / White
Asus PRIME X670E-PRO WIFI,299.99,AM5,ATX,192,4,Silver / Black
MSI PRO X670-P WIFI,216.73,AM5,ATX,192,4,Black / White
ASRock B650E PG RIPTIDE WIFI,189.99,AM5,ATX,192,4,Black / Blue
MSI A520M-A PRO,69.99,AM4,Micro ATX,64,2,Black
Asus ROG STRIX B450-F GAMING II,299.99,AM4,ATX,128,4,Black
ASRock B550M PG RIPTIDE,111.98,AM4,Micro ATX,128,4,
ASRock B760M Steel Legend WiFi,204.43,LGA1700,Micro ATX,192,4,Silver / Black
Asus PRIME Z790-V WIFI,239.99,LGA1700,ATX,192,4,Black / Silver
Asus ROG STRIX B650E-E GAMING WIFI,336.99,AM5,ATX,192,4,Black
MSI MAG B560M MORTAR WIFI,199.48,LGA1200,Micro ATX,128,4,Black / White
Asus ProArt X670E-CREATOR WIFI,439.99,AM5,ATX,192,4,Black / Copper
Asus ROG MAXIMUS Z790 HERO,529.99,LGA1700,ATX,192,4,Black
