name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
G.Skill Trident Z5 RGB 32 GB,124.99,"5,6400","2,16",3.906,Black,10,32
Corsair Vengeance LPX 64 GB,139.99,"4,3200","2,32",2.187,Black / Yellow,10,16
Kingston FURY Beast 32 GB,127.99,"5,6000","2,16",4,Black,12,36
Kingston FURY Beast 16 GB,77.98,"5,6000","2,8",4.874,Black,13.333,40
TEAMGROUP T-Create Expert 32 GB,92.99,"5,6000","2,16",2.906,Black,10,30
G.Skill Ripjaws S5 32 GB,102.99,"5,6000","2,16",3.218,Black,12,36
TEAMGROUP T-Force Delta RGB 16 GB,47.99,"4,3600","2,8",2.999,Black,10,18
Corsair Dominator Platinum RGB 32 GB,172.99,"5,6200","2,16",5.406,White,11.613,36
G.Skill Trident Z 32 GB,754.94,"5,6000","2,16",23.592,White / Black,13.333,40
G.Skill Trident Z Royal 256 GB,,"4,3600","8,32",,Gold,10,18
G.Skill Ripjaws V 32 GB,79.98,"4,3600","2,16",2.499,Black,8.889,16
TEAMGROUP T-Force Delta RGB 16 GB,47.99,"4,3600","2,8",2.999,White,10,18
Silicon Power XPOWER Turbine 16 GB,35.97,"4,3200","2,8",2.248,Blue,10,16
ADATA XPG Lancer Blade 32 GB,111.99,"5,6000","2,16",3.5,Black,10,30
G.Skill Trident Z RGB 16 GB,56.99,"4,3600","2,8",3.562,Black,10,18
Kingston FURY Beast 32 GB,79.77,"4,3200","2,16",2.493,Black,10,16
Corsair Vengeance RGB 32 GB,109.99,"5,5200","2,16",3.437,White,15.385,40
TEAMGROUP Vulcan Z 16 GB,36.99,"4,3600","2,8",2.312,Black,10,18
Crucial CT2K8G48C40U5 16 GB,52.99,"5,4800","2,8",3.312,Black,16.667,40
G.Skill Trident Z5 Neo RGB 64 GB,209.99,"5,6000","2,32",3.281,Black / Silver,10,30
Corsair Vengeance 32 GB,114.99,"5,6000","2,16",3.593,Black,12,36
